time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.0800000000000005,0.0649661333769,-0.0692919614242,11.1479734679,6.25078759603,6.25162859682,0.0,0.186805784744,-0.231122803493,2.31416004662,0.0437472595604,-0.0503757082672,0.0,461.44322811733895,462.8393064678768,462.08285849522093,462.9930335915061
1.1400000000000006,0.0767990041846,-0.0837820395315,11.2886382883,6.25337632109,6.24929541818,0.0,0.207869865944,-0.251626543809,2.37454066573,0.0419140890381,-0.022423638155,0.0,428.11714950801445,430.4878250489494,430.10485315089915,429.9506735050335
1.2000000000000006,0.0900510704113,-0.0995513541631,11.4362953675,6.25543274834,6.24771998314,0.0,0.23401518512,-0.273741431478,2.54699242954,0.0110680045139,-0.0353062694044,0.0,464.8572395613321,463.8465401458717,466.58880103148164,464.17485578074616
1.2600000000000007,0.10480120311,-0.116524964042,11.5912611464,6.25595989397,6.24612055213,0.0,0.257826883802,-0.291983675608,2.61836401781,0.00377838121274,-0.0133709717231,0.0,433.30840632895575,435.14823438248044,434.703209861063,434.0918274571136
1.3200000000000007,0.121039787042,-0.13460788244,11.7513788048,6.25643558268,6.24504075049,0.0,0.283542964455,-0.310738339697,2.7186512813,0.0151502100329,-0.0293842141247,0.0,444.67391424259074,443.3602514788442,443.2413197057568,444.1747887564211
1.3800000000000008,0.13889442753,-0.153836796779,11.9187425416,6.25744282987,6.24312337211,0.0,0.311795340926,-0.330114097086,2.85978745884,0.0198756840489,-0.0376717972211,0.0,457.15457038639187,456.4933762724052,457.04182765434587,457.4182032589679
1.4400000000000008,0.158360285792,-0.174124652232,12.0914220538,6.25899979806,6.24070655834,0.0,0.337277343136,-0.34601786045,2.89609515749,0.0359440048138,-0.0460854928568,0.0,424.6414791102645,423.91816841025746,424.23036764534646,425.6080220175521
1.5000000000000009,0.179499411411,-0.195389051574,12.2685511676,6.26080480542,6.23809078634,0.0,0.367624763641,-0.362581052268,3.00790848505,0.0145507621617,-0.0390334377245,0.0,448.1051595989544,448.6770030769345,450.37760715818314,448.64423144282534
1.560000000000001,0.202823430345,-0.217766552507,12.459217962,6.2614472826,6.23601311535,0.0,0.410099648097,-0.383210439499,3.34670148629,0.0016312871309,-0.0270208614902,0.0,514.7359184941462,515.5849623000951,515.8996065770441,514.9864577844979
1.620000000000001,0.2284131863,-0.241214023,12.6631191867,6.2615914631,6.23428759684,0.0,0.44304620588,-0.398354176128,3.44968507388,0.0039035352802,-0.0324821549576,0.0,448.19890275351895,447.7545759105042,449.66796026085785,449.85194996828903
1.680000000000001,0.256120571526,-0.265612206894,12.8753111448,6.26208470082,6.23220435,0.0,0.480731031482,-0.414866237824,3.62282731616,0.0156961478155,-0.0396218038629,0.0,471.7088583387283,471.1567290881784,469.8340256829176,470.74735197102905
